global_sentence_id,document_id,sentence_id,sentence
24,1,24,"דאָס הײסט אַ טאָפּעלער משיח — אַ משיח אי פֿאַר מאַנסביל אי פֿאַר פֿרױען, װאָרן אַז אַ משיח װעט אױסנעמען בײַ פֿרױען — אַ יונגער אַטלעטישער, שײן־געבױטער משיח, װעט ער שױן במילא אױסנעמען בײַ מענער אױך, װאָרן יעדע פֿרױ װעט זײַן, אַזױ צו זאָגן, אַן אַגענט פֿאַר אונדזער משיחן."
25,1,25,"שאַ… און קומען װעט ער טאַקע, אונדזער משיח, נישט אױף קײן פֿערד, און נישט אױף קײן אײזל, נאָר װי איך האָב דיר שױן פֿריִער געזאָגט, אױף אַ מאָטאָרציקל, 70 מײַל אַ שעה — אָ, יעס."
26,1,26,"נישט װי יענער געבריכטער ייִד, נאָר אַ יונג מיט בײנער — אַ מין דאָגלאַס פֿעירבענקס —

טשאַרלי: איר האָט שױן אַזאַ אײנעם, צי איר טראַכט פֿון קריגן אים?"
27,1,27,זיפּ: איך האָב שױן.
28,1,28,טשאַרלי: איר האָט שױן?
29,1,29,זיפּ: כ׳האָב.
30,1,30,טשאַרלי: שױן טאַקע?
31,1,31,זיפּ: שױן טאַקע!
32,1,32,טשאַרלי: װוּ האָט איר אים דערטאַפּט?
33,1,33,װער איז דאָס?
34,1,34,װי אַזױ הײסט ער?
35,1,35,"זיפּ: ס׳איז דער ד׳׳ר שמעון קעסטלבערג, װאָס איז ערשט פֿאַראַכטטאָגן געקומען קײן אַמעריקע פֿון קאָװנע."
36,1,36,ער איז אַ קאָװנער.
37,1,37,"געקומען איז ער אײגנטלעך מיט דעם צװעק צו האַלטן דרשות פֿאַר דער ציוניסטישער אָרגאַניזאַציע אין אַמעריקע, אָבער איך מײן, אַז ער װעט זיך נישט אָפּזאָגן פֿון אַ זײַטיק פֿאַרדינסטל."
38,1,38,"טשאַרלי: װאָס רעדט איר, יענער איז דאָך אַן אידעאַליסט, אַ מאַרטירער!"
39,1,39,"זיפּ: נו, יאָ, דערפֿאַר װאָס ער איז אַן אידעאַליסט, אַ מאַרטירער, װעל איך אים מוזן משלם זײַן 150 דאָלאַר אַ װאָך."
40,1,40,"עך, װען ער זאָל נישט זײַן קײן אידעאַליסט, קײן מאַרטירער, בע־בע־בע, װאָלט איך אים דאָך געקענט קריגן פֿאַר אַ האַלבע מאה, נאָר װײַל ער איז אַן אידעאַליסט און אַ מאַרטירער, װעל איך מוזן אַרױסװאַרפֿן אַן איבעריקן הונדערטער אַ װאָך."
41,1,41,נאָר סע לױנט זיך.
42,1,42,"איך האַלט, טשאַרלי, אַז אַ ציוניסט אַ מאַרטירער פֿאַרשטײט פֿאָרט אַ ביזנעס בעסער װי גלאַט אַזױ אַ ייִד."
43,1,43,"חוץ דעם האָט אונדזער משיח אַ סך גוטע פֿרײַנד בײַ דער פּרעסע — דאָס איז אױך עפּעס װערט, מײן איך!"
44,1,44,[אַנדערש] רוף אַרײַן די לײַטע — גודבײַ!
45,1,45,טשאַרלי: גודבײַ.
46,1,46,"[...]

[מוזיק שפּילט עפּעס װאָס איז ענלעך צו „יענקי דודל“]

נײַער משיח: [מיט צװיי אונטערפֿירער־רעפּאָרטערן]

אײן רעפּאָרטער [צום טאָן פֿון „יענקי דודל“]: מיר האָבן אײַך געברענגט דעם העכט, צו פֿירן אױף אַ שטריקל,און מיר װעלן טאַנצן באַלדאַרום דעם גאָלדן ביקל."
47,1,47,"אַלע:

ביקל — גליקל, האָפּאַפּאַהױדאַ — דונאַ — דײַנאַ,זאָל לעבן ציון־ניסעמוס,דאָס איז אַ גוטע ביזנעס!"
48,1,48,"[...]

טשאַרלי: איך בין בלױז טשאַרלי."
49,1,49,דער באָס איז .
50,1,50,. . יענער.
51,1,51,"משיח: די דזשענטללײַט פֿון אונדזער פּרעסע, פּליז, האָבן מיר געזאָגט, אַז איר דאַרפֿט אַ משיח, איס דאָס אמת?"
52,1,52,זיפּ: אמת.
53,1,53,משיח: אמת?
54,1,54,יאָ?
55,1,55,[װײַזט אױף די רעפּאָרטערן] דאָס זענען מײַנע אַגענטן.
56,1,56,"פֿינף פּראָצענט קאָמיסיאָן, אױב דאָס געשעפֿט װעט דורכגעפֿירט װערן, ביטע זײער, סילװוּ פּלעי, פּראָשין פּאַנע."
57,1,57,בװאַקאָשאָסאַ.
58,1,58,"זיפּ: זיצט, מײַנע הערן."
59,1,59,"בײדע רעפּאָרטערן: אָט זיצן מיר, אָט זיצן מיר."
60,1,60,מיר בײדע זיצן שױן.
61,1,61,ערשטער רעפּאָרטער: מאַי נײם איז אַב־ראַ־האַם.
62,1,62,"בײדע רעפּאָרטערן: אײב, אײב, האַם־האַם־האַם —אײבראַהאַם."
63,1,63,"בײדע: און איך הײס משה.מױ, מױ, מױ,שע־שע־שע,משה."
64,1,64,"משיח: איך מײן, אַז איך אַלס אַזעלכער פֿון מײַנער זײַטע, דאַרף איך נישט דערצײלן װער איך בין."
65,1,65,איך בין ד׳׳ר — [װיל װײַזן זײַן װיזיט־קאַרטל].
66,1,66,"זיפּ: מ׳װײסט, מ׳װײסט."
67,1,67,משיח: איך בין אַ גרױסער אידעאַליסט.
68,1,68,זיפּ: [מיט אַ זיפֿץ] דאָס װײסן מיר אױך.
69,1,69,טשאַרלי: [אױך מיט אַ זיפֿץ] מיר װײסן דאָס.
70,1,70,בײדע רעפּאָרטערן:ער איז אַ גרױסער אידעאַליסט —ער טוט דאָס אָבער נישט אומזיסט.
71,1,71,"משיח: איך בין פּראָשין פּאַנע אַ מאַרטירער, אַזױ װי קאַפּיטאַן דרײפֿוס."
72,1,72,"בײדע רעפּאָרטערן:

דרײ, דרײ, דרײ,פֿוס, פֿוס, פֿוס.אַזױ װי דרײפֿוס."
73,1,73,"משיח: אָדער אַזױ װי מענדל בײליס, װיסנזי."
74,1,74,"בײדע רעפּאָרטערן:

בײ, בײ, בײלי, לי, ליעס, עס, עסמענדל בײליס."
75,1,75,"משיח: נו, װידזשע פּאַן!"
76,1,76,"איך האָב אַ װײַב מיט צװײ קינדער, און די קינדער, װיסנזי, דאַרפֿן גוט עסן און גוט טרינקען און גוט שלאָפֿן און האָבן גוטע אױפֿפּאַסערס."
77,1,77,"מײַן װײַב האָט ליב צו טראָגן די בעסטע פּאַריזער קלײדער, פֿאָרן אין די װאַרעמבעדער, שפּילן פּרעפֿעראַנס, רולעט, פּינאַקל."
78,1,78,"[פּױזע] און מײַן טאָכטער, פּראָשין פּאַנע, מוז האָבן אַ גוט רײַטפֿערד אױף צו פֿאָרן רײַטן אין בואַ־דע־בולאָן, װיסנזי!..."
79,1,79,מה לעשׂות?
80,1,80,איט קענט בי העלפּד.
81,1,81,ניקס צו מאַכן.
82,1,82,"רעפּאָרטערן:

ניקס־ניקס־ניקס,צו־צו־צו,ניקס צו מאַכ — ען."
83,1,83,משיח: [צו זײ] שאַ.
84,1,84,"און דאַצו, װידזשי פּאַן, האָט מיך נאָך אַ פֿרײלין פֿאַרקלאָגט פֿאַר 30 טױזנט דאָלאַר שאָדענערזאַץ."
85,1,85,איך זאָל איר האָבן גערױבט די ערע.
86,1,86,"דאָס הײסט, אַזױ זאָגט זי — [שפּאָטיש] איר ערע!"
87,1,87,"רעפּאָרטערן:

ע, ע, ערע, רע, רערערױבט איר ערע."
88,1,88,"זיפּ: נו, קורץ?"
89,1,89,טשאַרלי: הכּלל?
90,1,90,"משיח: די געשיכטע איז זײער אײנפֿאַך, װידשי פּאַן."
91,1,91,"איך װיל, הײסט דאָס, $260 אַ װאָך פֿאַר אױסלייזן, פּראָשין פּאַנאַ!"
92,1,92,"פֿאַרגעסט נישט, איך בין אַן אידעאַליסט."
93,1,93,"אין אַמעריקע איז נישטאָ קײן סך אידעאַליסטן און מאַרטירער — אַמעריקע, װידזשי פּאַן, איז אַ לאַנד פֿון גשמיות."
94,1,94,"רעפּאָרטערן:

גאַש, גאַש, גאַשמי, מי, מייעס, יעס, יעסגשמיות."
95,1,95,"[פֿון איצט אָן גײט עס האַסטיקער און מעלאָ־דעקלאַמאַציע, אָדער געזאַנג]

זיפּ: 110 גיב איך."
96,1,96,[ער הײבט זיך אױף און זעצט זיך באַלד קריק].
97,1,97,משיח: [אױך אַזױ] 110 נעם איך נישט.
98,1,98,"רעפּאָרטערן: [אױך אַזױ]

110 נעמט ער נישט.ער נעמט נישט קײן 110."
99,1,99,זיפּ: גיב איך 115.
100,1,100,משיח: 115 נעם איך נישט.
101,1,101,"רעפּאָרטערן:

115 נעמט ער נישט.ער נעמט נישט 115."
102,1,102,זיפּ: גיב איך 125.
103,1,103,משיח: נײן.
104,1,104,זיפּ: 150.
105,1,105,מער גיב איך נישט אַ סענט.
106,1,106,משיח: װי זי וואָלען!
107,1,107,דאָס איזט אירע זאַכע.
108,1,108,נע־ספּאַ?
109,1,109,איך װעל פֿאַר װײניקער װי 200 דאָלאַר אַ װאָך נישט אױסלײזן דאָס פֿאָלק ישׂראל פֿון גלות.
110,1,110,פֿאַרגעסן זי ניכט װאָס פֿאַר אַן אַלט פֿאָלק דאָס איז!
111,1,111,און װאָס פֿאַר אַן עקשנים!
112,1,112,ס׳אַ שפּילעכל אױסצולײזן אַזאַ פֿאָלק!
113,1,113,"אױסער דעם, די אױסגאַבן פֿונעם בענזין פֿאַר מײַן מאָטאָרציקל."
114,1,114,"זי פֿאַרלאַנגען דאָך נישט, אַז אַ מאָדערנער משיח זאָל קומען צו רײַטן אױף אַן אײזל."
115,1,115,"[דײַטש] דאַס װערע יאַ שויסליך, און װען דער אײזל זאָל נאָך עטװאָס אָפּטאָן!"
116,1,116,קענען מיר נאָך אײַננעמען מיט אים בושות — נע־ספּאַ?
117,1,117,אַװקאָרז!
118,1,118,"רעפּאָרטערן: הכּלל, מיר׳ן מאַכן אַ פּשרה: 175 דאָלאַר אַ װאָך מיט גאַזאָלין."
119,1,119,"זיפּ: נו, גוט."
120,1,120,אָפּגעמאַכט.
121,1,121,אָבער מיט אײַער מאָטאָרציקל.
122,1,122,"שאַ, ברענגט טאַקע באַלד אַהער אײַער מאָטאָרציקל."
123,1,123,"לאָמיר זען, צי סע אַרבעט."
124,1,124,משיח: ס׳איז מיר גוט.
125,1,125,אַן אײגן מאָטאָרציקל?
126,1,126,"װאָס בין איך, אַ ראַקעפֿעלער?"
127,1,127,איך האָב אײגענע קװאַלן מיט געזאָלין?
128,1,128,איך װיל 200 דאָלאַר אַ װאָך און אַ מאָטאָרציקל אַחוץ.
129,1,129,זיפּ: אַן עקשן.
130,1,130,"[שושקעט זיך מיט טשאַרלין] נו, אָלרײַט, אָפּגעמאַכט."
131,1,131,װאָס קען מען מיט אײַך טאָן?
132,1,132,"איכ׳ל אײַך געבן מײַן אײגן מאָטאָרציקל, שױן אַ ביסל גענוצט אַפֿילו, אָבער ס׳איז נאָך גאַנץ גוט."
133,1,133,"משיח: [קװענקלט זיך] די פֿראַגע איז נאָר, צי אײַער מאָטאָרציקל איז אין גוטער אָרדענונג."
134,1,134,זיפּ: װאָס?
135,1,135,איר גלייבט מיר נישט?
136,1,136,זיפּקינען גלייבט איר נישט?
137,1,137,דאָס איז שיין.
138,1,138,"[צו טשאַרלין] ברענג ס׳מאָטאָרציקל, לאָז ער זען [לעבן דער שװעל פּרוּװט מען דעם ביציקלעט."
139,1,139,"ער אַרבעט, מאַכט קולות]."
140,1,140,"טשאַרלי: אױב שױן יאָ אַזױ, דאַרף מען טרינקען מאַהאַריטש."
141,1,141,"[ברענגט בראָנפֿן, אַלע טרינקען]."
142,1,142,"זיפּ: לחיים, לאָז גאָט העלפֿן, אַז ס׳זאָל זײַן גוטע ביזנעס."
143,1,143,משיח: [אין געזאַנג] מעד איז מעד און שנאַפּס איז שנאַפּס.
144,1,144,רעפּאָרטערן: טאָ לאָמיר אַלע געבן מיט די פֿיס אַ קלאַפּ.
145,1,145,משיח: מיט די פֿיס אַ קלאַפּ און מיטן קאָפּ אַ דרײ.
146,1,146,"אַלע: און לאָמיר אַלע שרײַען: הור, הור, הורײ!"
147,1,147,משיח: נו גוט.
148,1,148,איצט װעל איך זעלבסט אױספּרוּװן דאָס מאָטאָרציקל.
149,1,149,היט זיך.
150,1,150,אַװעק פֿון דאַנעט!
151,1,151,[אָפּ].
152,1,152,"רעפּאָרטערן:

װידער, װידער, נײַעס.פֿון ישׂראלס צד.מיר לױפֿן הענדום־פּענדוםבאַשרײַבן עס אין בלאַט.װיװאַט, װיװאַט, װיװאַט."
153,1,153,אַלע: באַשרײַבן עס אין בלאַט.
154,1,154,רעפּאָרטערן: װײַל מיר זענען די מחותּנים.
155,1,155,אַלע: פֿון דעם חתנס צד.
156,1,156,זיפּ: איצט האָבן מיר עס!
157,1,157,"איצט װעלן מיר אים װײַזן, דעם מנחמקען, װאָס ס׳הײסט ברענגען אַ משיחן!"
158,1,158,און דװקה אַ מאָדערנעם משיח.
159,1,159,"און דװקה פֿאַר װײַבער און דװקה אױף אַ מאָטאָרציקל, 70 מײַל אַ שעה."
160,2,0,"קײנער אין שטאָט געדענקט ניט גענױ, װי דאָס איז פֿאָרגעקומען, כאָטש כּמעט אַלע זײַנען געװען ניט נאָר לעבעדיקע עדות, נאָר אױך אָנטײל־נעמערס פֿון דעם דאָזיקן אומגעװײנלעכן געשעעניש."
161,2,1,"ניט קוקנדיק אױף דעם, אָדער דווקא מחמת דעם, װאָס דאָס דאָזיקע געשעעניש האָט אַזױ אױפֿגעבראַכט גאַנצע שטעט, האָבן זיך דערנאָכדעם אַלע, װי פֿון אַ חלום, אױפֿגעכאַפּט, זיך מיט גרױס מי געקענט דערמאָנען דאָס איבערגעלעבטע."
162,2,2,"דער הױפּט האָט דאָס, דאַכט זיך, ניט לאַנג פֿאָרגעקומענע – שױן באַלד אױסגעזען װי אַ װײַטע, אַלטע לעגענדע, װאָס האָט שױן קױם פֿאַרמאָגט װעלכע ס׳איז קאָנטורן פֿון אַ פֿאַקטיש לעבעדיקער מעשׂה."
163,2,3,און די פֿאַרגאַפֿטע פֿאַנטאַזיע האָט זיך געװאָרפֿן אין דערמאָנונג־קראַמפֿן און ניט־װילנדיק פֿאַרפֿלאָכטן געשעענע און אויסגעטראַכטע איבערלעבונגען.
164,2,4,"נאָר אַלע געדענקען מער אָדער װייניקער דײַטלעך פֿאָלגנדיקס:

באַלד נאָכן גרױסן שבת איז חיים אַהײמגעפֿאָרן."
165,2,5,אַ קורצע צײַט נאָך דעם (קײנער װײס ניט גענױ װען) האָט מען שױן חיימען ניט דערקענט.
166,2,6,"ער איז אײגנטלעך ניט אַן אַנדערער געװאָרן, נאָר דאָס שטענדיקע פֿײַער אין אים האָט פֿאַרבלענדנדיק העל אױפֿגעפֿלאַקערט."
167,2,7,"די אומדערטרעגלעכע, כאָטש אַפֿילו לאַנג דערװאַרטע עליה איז איבער זײַן נשמה געקומען."
168,2,8,דאָס לעבן אין און אַרום אים האָט זיך אַנטבלױזט אין זײַן אומגעהײַערער נאַקעטער גאַנצקײט.
169,2,9,ס׳איז אַראָפּגעפֿאַלן פֿון דער װעלט דער שטענדיקער שײַן פֿון כּלומרשט טױטער באַזונדערקײט.
170,2,10,"װערטער, אותיות, געשטאַלטן, װירקונגען, געשעענישן – אַלץ איז געװאָרן אומדערטרעגלעך דורכזיכטיק."
171,2,11,"װוּהין נאָר ער האָט זײַן בליק געװענדט – האָט זיך אָנגעהױבן װי רױך צעגײן דער לעבנס־נעפּל פֿון דעם גאַנצן װעלטפֿאַרנעם, װעלכע איז דאָך טאַקע נאָר דער חיות־אלקות."
172,2,12,"ער האָט זיך אַפֿילו ניט אָפּגעשטעלט בײַ דער לעצטער קלײנער פּשרה, װעלכע לאָזט נאָך װעלכע ס׳איז װעלט־אָרדענונג."
173,2,13,האָבן שױן די חבדישע תּורות פֿון זיך אַלײן אַראָפּגעװאָרפֿן די סאַמע דינסטע װערטער־שאָלעכץ און אַנטפּלעקט זייער פֿאַרבלענדנדיק העלן ליכטקװאַל.
174,2,14,"אַזױ האָט טאַקע אַלץ, װאָס איז געקומען אױף זײַנע ליפּן אָדער זיך אין אים אָנגערירט, אָנגעהױבן צו לײַכטן און צו גליִען."
175,2,15,חיים האָט זיך אױסערלעך ניט געענדערט.
176,2,16,ער האָט נאָר אױסגעזען פֿײַערלעך רויִק און גליִענדיק שטיל.
177,2,17,"פֿון זײַן גאַנצער מעכטיקער פֿיגור, פֿון זײַנע פֿאַרקלערט־לײַכטנדיקע אױגן, פֿון זײַן שטענדיק הײסן אָטעם, פֿון דעם שטיל־גליִענדיקן ציטער, װאָס האָט זיך אױסגעגאָסן ביז אױפֿן לעצטן קנײטש פֿון זײַן קאַפּאָטע – פֿון אַלץ אין אים האָט געװײעט די פֿײַערלעכע רו פֿון אַן אינערלעך גײַסטיקער באַנומענקײט."
178,2,18,"אױף אַלץ און אַלעמען האָט ער געקוקט מיט אָפֿענע, נאָר ניט־זעענדיקע אױגן, װעלכע האָבן טאַקע דערפֿאַר גאָרנישט ניט געזען, װײַל זײ האָבן שױן גאָר אַלץ געזען."
179,2,19,דער כּלומרשטיקער שײַן האָט שױן גאָרניט פֿאַרדעקט.
180,2,20,אױף זײַנע ליפּן האָט אָנגעהױבן לײַכטן עפּעס אַ מאָדנער שמײכל.
181,2,21,אָנגעהױבן האָט זיך דער שמײכל עפּעס באַלכסונדיק־פֿאַרחלשט אין דעם רעכטן װינקל פֿון זײַן מױל און זיך באַלד מיט אַ ברען פֿאַרלױרן אין דער טיף פֿון דער שװאַרצער באָרד.
182,2,22,אַזױ אַרום האָבן זיך קױם־קױם באַװיזן די ווײַסע פֿאַרחלשטע ציין.
183,2,23,"איז שױן ניט נאָר דער געזיכטס־אױסדרוק, נאָר אָט דער שמײכל אַלײן האָט אַרױסגעװיזן עפּעס אַן אַנטציקנדיקע פֿאַרפֿאַלנקײט און מאוימדיק הױלע, מסירת־נפֿשדיקע נאַקעטע אַנטשלאָסנקײט."
184,2,24,האָט זיך טאַקע נאָר געװאָרפֿן אין די אױגן זײַן אױפֿפֿירונג.
185,2,25,אַ שטענדיק שטורמישער איז ער עפּעס געװאָרן אַזױ מאָדנע קאָנצענטרירט און שטיל־שװײַגנדיק – עפּעס אַ פֿאַרגאַפֿטע דבֿקות־שטילקײט האָט אײַנגעזאַפּט זײַן שטורמישן אומרו.
186,2,26,"פֿון ליובאַװיטש זײַנען אָנגעקומען פֿרישע כּתבֿים פֿון די לעצטע רבינס מאמרים, װעלכע חיים האָט אָבער ניט געחזרט, װי אַלע מאָל, פֿאַרן עולם."
187,2,27,"אַלץ זעלטענער האָט מען אים געזען אױף חבדישע יומא־דפּגראס און חסידישע נעכטלעך, וועלכע זײַנען אין גיכן, ווי ער, פֿאַרגאַפֿט אַנטשװיגן געװאָרן."
188,2,28,"ניט װאָס ער איז פֿון מענטשן געלאָפֿן אָדער זיך װיפֿל ס׳איז אָפּגעזונדערט, נאָר װען ער איז געשטאַנען צװישן עולם, האָבן אַלע ציטעריק געפֿילט זײַן פֿאַרגאַפֿטע דבֿקותדיקע אָפּגעטראָגנקײט."
189,2,29,"די ערשטע טעג האָבן זיך חסידים נאָך דרך־ארצדיק געגלײַכװערטלט, מיט דער חבדיש העזהדיקער אױפֿגעבונדנקײט."
190,2,30,"– חיים טרינקט משקה אין עולמות־העליונים...

– חיים זוכט שױן אַ ביסעלע ספּירט פֿון יין־המשומר...

– ער דראַפּעט זיך שױן העכער פֿון די עולמות־העליונים...

אַנדערע האָבן געלאָזט אין גאַנג חיימס װערטער:

– „גחלים לוחשות“ פֿונעם „קאַלכאױװן“...

עלטערע חסידים האָבן זיך פֿון אָנהײב אָן באַצויגן מיט אַן אינערלעכן חשד צו חיימס נײַער אױפֿפֿירונג און זיך אָנגעהױבן באַלד פֿון אים צו דערװײַטערן."
191,2,31,"אין זײַן נײַעם דרך האָט חיים ניט נאָר ניט געפֿרעגט דעם רבין אָדער זיך מיט אים אַן עצה געהאַלטן, נאָר ער האָט אַפֿילו עפּעס װי פֿאַרגעסן, אַז ס׳איז פֿאַראַן אַ רבי אױף דער װעלט."
192,2,32,"עלטערע חסידים האָבן אױף אים געקוקט מיט דער זעלטזאַמער מינע, װאָס האָט װי געהײסן: מיר האָבן שױן לאַנג געװוּסט, אַז מיט אים װעט זיך גלאַט ניט ענדיקן."
193,2,33,"זײ האָבן מער געפֿילט, װי פֿאַרשטאַנען, אַז די נײַע כװאַליעס פֿון חיימס התלהבֿות װעלן ניט צעברעכן, נאָר פּשוט פֿאַרפֿלײצן די אײַזערנע זײַלן פֿון דער חבדישער װעלט, די טױזנט־יאָריקע אייביקע זײַלן פֿון תּורה און ייִדישקײט, װעלכע חבד האָט נאָר אױף זײַן שטײגער באַנײַט און באַלױכטן."
194,2,34,"פֿון חיימס נײַער אױפֿפֿירונג האָט זיך געטראָגן עפּעס אַ ניט־ייִדיש פֿאַרפֿירערישער ברען פֿון אַ לחלוטין ניט־אײַנגעהאַלטענער, סטיכיש פֿאַרפֿלײצנדיקער עליה."
195,2,35,אַחוץ דעם איז בײַ עלטערע חסידים נאָך צו פֿריש געװען אין זכּרון די מעשׂה פֿון דעם סטאַראָשעליער.
196,2,36,"דעם אַלטן רבינס אַ תּלמיד, האָט דער סטאַראָשעליער כּמעט מיט דער זעלביקער מסירת־נפֿשדיקער אַנטשלאָסנקײט, װי חיים גראַװיצער (כאָטש אַפֿילו אױף אַן אַנדער אופֿן), דערזען און אָנגעצונדן אין זיך דאָס גרױסע חבדישע ליכט פֿון געטלעך־פּשוטער שׂימחה און אױפֿגעהױבענער התלהבֿות."
197,2,37,טאַקע נאָר אַרױס פֿון די כּלים אין אמתן ביטול צו אלקות.
198,2,38,אַזױ האָט זיך טאַקע נאָך דעם אַלטן רבינס הסתּלקות די חבדישע װעלט כּמעט געשפּאָלטן: אַנדערע זײַנען געפֿאָרן צום מיטעלן רבין און אַ טײל חסידים האָבן זיך געצױגן נאָך דעם סטאַראָשעליער.
199,2,39,די חבדישע װעלט האָט זיך שטאַרק אַ װאַקל געטאָן.
200,2,40,אין דער לופֿט האָט זיך שױן אַ ריח פֿון מחלוקת געטראָגן.
201,2,41,"דער שׂטן װאַרט דאָך און לעכצט נאָך װאַקלעניש פֿון גרױסע נשמות... ס׳האָט געדױערט אַ שטיקל צײַט און חסידים זײַנען גענוג אױסגעשטאַנען, ביז מ׳האָט װידער אױפֿגעשטעלט די גאַנצקײט פֿון דער חבדישער װעלט אונטער דער פֿירונג פֿונעם מיטעלן רבין."
202,2,42,עלטערע חסידים האָבן טאַקע איצט מיט גרױס זאָרג געקוקט אױף דער נײַער פֿאַרפֿלײצונגס־סכּנה פֿון דעם גראַװיצער.
203,2,43,"מ׳דערצײלט, אַז נחום דער אַלטער שוחט האָט זיך טאַקע אײַנגעשטעלט און נאָך געפּרוּווט חיימען איבעררײדן."
204,2,44,"אײנער פֿון די עלטערע זקנים, װאָס זײַנען נאָך געפֿאָרן צום אַלטן רבין זכרונו לבֿרכה, איז נחום דערצו געװען אַ „שאַרפֿע יאַרמלקע“."
205,2,45,"עטלעכע און זיבעציק יאָר אַלט, האָט נאָך בײַ אים די האַנט ניט געציטערט און ער האָט זיך נאָך אױסגעצייכנט צװישן ייִנגערע שוחטים."
206,2,46,"װי אַנדערע עלטערע חסידים, האָט ער מיט שרעק צוגעקוקט, װי מאוימדיק ס׳װאַקסט אין חיימען די פֿאַרפֿלײצנדיקע התלהבֿות, װאָס צינדט אָן און פֿאַרכאַפּט נײַע מוחות און הערצער."
207,2,47,"באַזונדערס האָט ער זיך דערשראָקן, װען אַפֿילו אײניקע עלטערע חסידים האָבן נישט געקענט בײַשטײן און האָבן זיך געלאָזט פֿאַרפֿלײצן פֿון דעם שטיל־גליִענדיקן שטראָם."
208,2,48,"איז ער שױן אײן מאָל אין בית־המדרש צוגעגאַנגען צו חיימען, האָט אים אַנידערגעלײגט די האַנט אױף די פּלײצעס און אַ זאָג געטאָן:– דו װילסט טאַקע, חיים, גאָר װי אליהו הנבֿיא אַ לעבעדיקער אױפֿן הימל אַרױף."
209,2,49,נאָר צײַט אליהו הנבֿיא האָט עס קײנער ניט געװאָלט נאָכטאָן.
210,2,50,"אַפֿילו דער בעל־שם, זכרונו לבֿרכה, האָט זיך דאָס ניט געקענט פֿאַרגינען."
211,2,51,"װאָרעם ניט דאָס איז דער רצון־הבורא, אַז װעלטן זאָלן זיך דערזען און פֿאַרשװינדן."
212,2,52,"בײַ דער העכסטער מדרגה דאַרף מען דאָך ערשט האָבן תּורה־ומיצוות, קײן שפּרענקעלע אױף דער װעלט טאָר מען ניט פֿאַרגעסן – נחום די שאַרפֿע יאַרמלקע האָט דעם קול אױפֿגעהױבן און האָט זיך דאָס אַ װאָרף געטאָן – נאָר דער נחש־הקדמוני, די גיפֿטיקע שלאַנג פֿון דער נשמה גײט נאָך כּלומרשט װײַטער פֿון דעם רצון־הבורא."
213,2,53,אָט דאָס איז די תּקיפֿות פֿון דער סיטרא־אַחרא.
214,2,54,װאָס קלערסטו זיך?
215,2,55,"דו מײנסט אין דער אמתן, אַז דו װעסט זיך לאַנג רבקען."
216,2,56,אַפֿילו דער סטאַראָשעליער איז דאָך אַזױ װײַט ניט געגאַנגען.
217,2,57,"און דערצו...

נחום האָט זיך אין מיטן אָפּגעשטעלט."
